id,plan,area,age,premium
642,p01,r52,64,628.00
643,p01,r52,65,628.00
644,p01,r56,20,127.00
645,p01,r56,21,199.00
646,p01,r56,22,199.00
647,p01,r56,23,199.00
648,p01,r56,24,199.00
649,p01,r56,25,200.00
650,p01,r56,26,204.00
651,p01,r56,27,209.00
652,p01,r56,28,217.00
653,p01,r56,29,223.00
654,p01,r56,30,226.00
655,p01,r56,31,231.00
656,p01,r56,32,236.00
657,p01,r56,33,239.00
658,p01,r56,34,242.00
659,p01,r56,35,244.00
660,p01,r56,36,245.00
661,p01,r56,37,247.00
662,p01,r56,38,248.00
663,p01,r56,39,252.00
664,p01,r56,40,255.00
665,p01,r56,41,260.00
666,p01,r56,42,264.00
667,p01,r56,43,271.00
668,p01,r56,44,279.00
669,p01,r56,45,288.00
670,p01,r56,46,299.00
671,p01,r56,47,312.00
672,p01,r56,48,326.00
673,p01,r56,49,340.00
674,p01,r56,50,356.00
675,p01,r56,51,372.00
676,p01,r56,52,389.00
677,p01,r56,53,407.00
678,p01,r56,54,426.00
679,p01,r56,55,445.00
680,p01,r56,56,465.00
681,p01,r56,57,486.00
682,p01,r56,58,508.00
683,p01,r56,59,519.00
684,p01,r56,60,541.00
685,p01,r56,61,560.00
686,p01,r56,62,573.00
687,p01,r56,63,589.00
688,p01,r56,64,596.00
689,p01,r56,65,596.00
690,p01,r57,20,142.00
691,p01,r57,21,224.00
692,p01,r57,22,224.00
693,p01,r57,23,224.00
694,p01,r57,24,224.00
695,p01,r57,25,224.00
696,p01,r57,26,229.00
697,p01,r57,27,234.00
698,p01,r57,28,243.00
699,p01,r57,29,250.00
700,p01,r57,30,254.00
701,p01,r57,31,259.00
702,p01,r57,32,264.00
703,p01,r57,33,268.00
704,p01,r57,34,271.00
705,p01,r57,35,273.00
706,p01,r57,36,275.00
707,p01,r57,37,277.00
708,p01,r57,38,279.00
709,p01,r57,39,282.00
710,p01,r57,40,286.00
711,p01,r57,41,291.00
712,p01,r57,42,296.00
713,p01,r57,43,303.00
714,p01,r57,44,312.00
715,p01,r57,45,323.00
716,p01,r57,46,335.00
717,p01,r57,47,349.00
718,p01,r57,48,366.00
719,p01,r57,49,381.00
720,p01,r57,50,399.00
721,p01,r57,51,417.00
722,p01,r57,52,436.00
723,p01,r57,53,456.00
724,p01,r57,54,477.00
725,p01,r57,55,499.00
726,p01,r57,56,522.00
727,p01,r57,57,545.00
728,p01,r57,58,570.00
729,p01,r57,59,582.00
730,p01,r57,60,607.00
731,p01,r57,61,628.00
732,p01,r57,62,642.00
733,p01,r57,63,660.00
734,p01,r57,64,668.00
735,p01,r57,65,668.00
736,p01,r58,20,146.00
737,p01,r58,21,229.00
738,p01,r58,22,229.00
739,p01,r58,23,229.00
740,p01,r58,24,229.00
741,p01,r58,25,230.00
742,p01,r58,26,235.00
743,p01,r58,27,240.00
744,p01,r58,28,249.00
745,p01,r58,29,257.00
746,p01,r58,30,260.00
747,p01,r58,31,266.00
748,p01,r58,32,271.00
749,p01,r58,33,275.00
750,p01,r58,34,279.00
751,p01,r58,35,280.00
752,p01,r58,36,282.00
753,p01,r58,37,284.00
754,p01,r58,38,286.00
755,p01,r58,39,290.00
756,p01,r58,40,293.00
757,p01,r58,41,299.00
758,p01,r58,42,304.00
